conc,signal
100,1045573
33.3333333333333,543588
11.1111111111111,82990
3.7037037037037,27022
1.23456790123457,5992
0.411522633744856,2841
0.137174211248285,1530
0.0457247370827618,1539
100,1064333
33.3333333333333,529931
11.1111111111111,132316
3.7037037037037,31145
1.23456790123457,6671
0.411522633744856,2787
0.137174211248285,1843
0.0457247370827618,1568
100,1039621
33.3333333333333,569588
11.1111111111111,133228
3.7037037037037,29831
1.23456790123457,6427
0.411522633744856,2808
0.137174211248285,1586
0.0457247370827618,1579
100,1082936
33.3333333333333,534929
11.1111111111111,141028
3.7037037037037,32888
1.23456790123457,6838
0.411522633744856,2521
0.137174211248285,1828
0,1511
0,1537
0,1861
